Date,Product Name,Units Sold,Price,Competitor Price,Stock Available,Marketing Spend,Holiday/Seasonal Indicator,Weather Condition,Economic Indicator,Social Media Trend Score,Market Sentiment Score,Competitor Activity Score
2023-04-01,iPhone 14,6,906,880,181,278,1,Cloudy,0.9310820464834905,65,-0.1049155290674515,4
2023-04-01,iPhone 14 Pro,24,968,1002,302,171,1,Cloudy,1.0321574849848356,7,-0.1969674916307962,6
2023-04-01,iPhone 15,10,1268,1224,237,103,1,Cloudy,0.600440417861966,14,0.9200253145054373,5
2023-04-01,iPhone 15 Pro,11,659,614,489,1443,1,Cloudy,1.0493645514442687,21,-0.36610942272882907,5
2023-04-01,Samsung Galaxy S22,24,1234,1316,242,498,1,Rainy,1.0286858536788197,97,0.05169927252762663,2
2023-04-01,Samsung Galaxy S23,17,1494,1444,455,1330,1,Rainy,1.3476113742156492,8,-0.47311448120638144,8
2023-04-01,Samsung Galaxy S24,27,1430,1509,447,393,1,Snowy,1.2054341850945511,15,0.709833917119542,5
2023-04-01,Google Pixel 6,7,807,822,400,558,1,Rainy,0.8092688787921897,30,0.9154082140129745,7
2023-04-01,Google Pixel 7,5,1239,1203,86,254,1,Rainy,1.043543914649442,11,0.702183764464289,6
2023-04-01,Google Pixel 8,6,1184,1172,401,1038,1,Cloudy,0.5241327786925536,45,-0.8089275847275257,3
2023-04-01,OnePlus 10,21,1070,1093,422,978,1,Snowy,0.8298158088563611,61,0.5139895189793111,8
2023-04-01,OnePlus 11,15,743,789,331,510,1,Rainy,1.0749105882071062,85,0.5859873027850226,1
2023-04-01,OnePlus 12,39,1438,1438,418,309,1,Snowy,1.3634431335103334,96,0.9449691245523184,5
2023-04-01,Xiaomi 12,43,1076,1037,165,853,1,Snowy,0.5239613851242698,39,-0.9352492454511838,0
2023-04-01,Xiaomi 13,11,1442,1517,483,357,1,Cloudy,0.7889143158038118,82,-0.8606542711528244,4
2023-04-01,Xiaomi 14,14,864,859,94,873,1,Cloudy,0.6370596835365813,34,0.23295871708248894,2
2023-04-01,Oppo Find X5,9,324,412,251,1159,1,Rainy,1.1593990799053713,20,-0.7626550158563918,1
2023-04-01,Oppo Find X6,5,953,1038,499,690,1,Snowy,0.789282424441963,61,-0.40583890024400326,4
2023-04-01,Vivo X90,46,1291,1294,224,199,1,Cloudy,1.2070960761611116,21,0.9912174230288522,9
2023-04-01,Vivo X100,12,518,605,447,1246,1,Snowy,0.848994935301911,5,0.646901616379147,0
2023-04-02,iPhone 14,23,914,951,148,929,1,Cloudy,1.4890744654737045,52,-0.5861942102981885,1
2023-04-02,iPhone 14 Pro,26,879,838,115,363,1,Sunny,0.6140502977053988,61,-0.9287895469669825,0
2023-04-02,iPhone 15,38,1390,1476,182,973,1,Rainy,0.9521826853616943,57,-0.649650272591638,0
2023-04-02,iPhone 15 Pro,7,368,406,299,419,1,Sunny,1.2787381569251641,72,-0.4966711299090585,0
2023-04-02,Samsung Galaxy S22,44,1458,1414,160,1098,1,Rainy,1.0961380616965348,72,-0.351944088732304,1
2023-04-02,Samsung Galaxy S23,11,1370,1405,291,621,1,Rainy,0.9030354889346852,6,0.09447485575856707,3
2023-04-02,Samsung Galaxy S24,17,571,653,293,1097,1,Rainy,0.8650512775418054,55,-0.30488334537679607,7
2023-04-02,Google Pixel 6,45,773,781,126,598,1,Rainy,1.1055292748912722,54,0.6191745416191057,3
2023-04-02,Google Pixel 7,25,926,933,342,1172,1,Cloudy,1.2141215274023056,28,0.2782894762462913,6
2023-04-02,Google Pixel 8,45,432,452,234,745,1,Sunny,0.5533300682067462,76,-0.3776151112912469,7
2023-04-02,OnePlus 10,41,1226,1303,94,1341,1,Cloudy,0.8154892064822239,96,-0.6487504373423236,4
